Date,Open,High,Low,Close,Adj Close,Volume
2012-08-01,87.019997,87.449997,86.180000,86.910004,72.333595,14312300
2012-08-02,86.099998,86.750000,85.500000,85.879997,71.476318,14530100
2012-08-03,87.070000,87.889999,86.800003,87.550003,72.866249,13982500
2012-08-06,87.550003,87.879997,87.370003,87.449997,72.783020,9626400
2012-08-07,87.879997,88.000000,87.680000,87.919998,73.174202,12399800
2012-08-08,87.750000,88.500000,87.680000,88.279999,73.473831,12864500
2012-08-09,87.839996,88.480003,87.510002,88.199997,73.884277,12213700
2012-08-10,87.669998,88.489998,87.150002,88.440002,74.085312,11149000
2012-08-13,88.099998,88.239998,87.769997,88.139999,73.834015,8716300
2012-08-14,88.169998,88.639999,87.900002,88.199997,73.884277,8675700
2012-08-15,88.190002,88.669998,87.910004,88.000000,73.716759,8510100
2012-08-16,88.190002,88.870003,87.959999,88.669998,74.278000,11311300
2012-08-17,88.889999,88.910004,88.160004,88.400002,74.051834,11177700
2012-08-20,88.070000,88.220001,87.629997,87.949997,73.674858,8813700
2012-08-21,88.139999,88.410004,87.260002,87.459999,73.264404,10767100
2012-08-22,87.199997,87.910004,87.019997,87.730003,73.490555,10160400
2012-08-23,87.790001,87.790001,86.980003,87.309998,73.138733,9666300
2012-08-24,87.160004,88.300003,86.930000,88.050003,73.758629,9762300
2012-08-27,88.070000,88.199997,87.610001,87.739998,73.498940,8252100
2012-08-28,87.570000,88.400002,87.419998,88.099998,73.800514,9646800
2012-08-29,88.070000,88.190002,87.739998,87.900002,73.632980,8377300
2012-08-30,87.379997,87.730003,87.019997,87.199997,73.046593,8915800
2012-08-31,87.610001,87.849998,87.139999,87.300003,73.130348,14178800
2012-09-04,87.330002,87.459999,86.519997,87.120003,72.979561,10602900
2012-09-05,87.519997,87.650002,87.059998,87.330002,73.155487,10113100
2012-09-06,87.889999,89.250000,87.849998,88.989998,74.546051,15713500
2012-09-07,89.269997,90.000000,89.269997,89.919998,75.325111,15623900
2012-09-10,89.820000,90.000000,89.400002,89.480003,74.956528,10750700
2012-09-11,89.750000,89.949997,89.550003,89.620003,75.073807,9349400
2012-09-12,89.629997,89.900002,89.410004,89.550003,75.015167,9982900
2012-09-13,89.709999,91.559998,89.430000,91.230003,76.422485,19870900
2012-09-14,91.500000,92.400002,91.250000,92.300003,77.318825,21388800
